building	effect	effect_scope	value	value_damaged	value_ruined
3c_barb_agriculture_horse_4	rom_building_gdp_agriculture_animal_husbandry	this_building	100.0	50.0	0.0
3c_barb_agriculture_horse_4	rom_building_public_order_happiness	this_province	-6.0	-2.0	0.0
3c_barb_agriculture_horse_4	rom_building_squalor	this_region	5.0	8.0	10.0
3c_barb_agriculture_horse_4	rom_building_unit_experience_cavalry	this_province	1.0	0.0	0.0
3c_barb_agriculture_nomad_1	rom_building_food_farming_grain	this_region	4.0	4.0	0.0
3c_barb_agriculture_nomad_1	rom_building_gdp_agriculture_farming	this_building	40.0	20.0	0.0
3c_barb_agriculture_nomad_camp_2	rom_building_food_farming_grain	this_region	7.0	7.0	0.0
3c_barb_agriculture_nomad_camp_2	rom_building_gdp_agriculture_farming	this_building	60.0	30.0	0.0
3c_barb_agriculture_nomad_camp_2	rom_building_squalor	this_region	1.0	2.0	2.0
3c_barb_agriculture_nomad_camp_3	rom_building_food_farming_grain	this_region	10.0	10.0	0.0
3c_barb_agriculture_nomad_camp_3	rom_building_gdp_agriculture_farming	this_building	80.0	40.0	0.0
3c_barb_agriculture_nomad_camp_3	rom_building_public_order_happiness	this_province	-3.0	-2.0	0.0
3c_barb_agriculture_nomad_camp_3	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_agriculture_nomad_camp_4	rom_building_food_farming_grain	this_region	15.0	15.0	0.0
3c_barb_agriculture_nomad_camp_4	rom_building_gdp_agriculture_farming	this_building	100.0	50.0	0.0
3c_barb_agriculture_nomad_camp_4	rom_building_public_order_happiness	this_province	-6.0	-3.0	0.0
3c_barb_agriculture_nomad_camp_4	rom_building_squalor	this_region	5.0	8.0	10.0
3c_barb_agriculture_nomad_herd_2	rom_building_food_farming_grain	this_region	4.0	4.0	0.0
3c_barb_agriculture_nomad_herd_2	rom_building_gdp_agriculture_animal_husbandry	this_building	60.0	30.0	0.0
3c_barb_agriculture_nomad_herd_2	rom_building_squalor	this_region	1.0	2.0	2.0
3c_barb_agriculture_nomad_herd_3	rom_building_food_farming_grain	this_region	4.0	4.0	0.0
3c_barb_agriculture_nomad_herd_3	rom_building_gdp_agriculture_animal_husbandry	this_building	80.0	40.0	0.0
3c_barb_agriculture_nomad_herd_3	rom_building_public_order_happiness	this_province	-3.0	-2.0	0.0
3c_barb_agriculture_nomad_herd_3	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_agriculture_nomad_herd_4	rom_building_food_farming_grain	this_region	4.0	4.0	0.0
3c_barb_agriculture_nomad_herd_4	rom_building_gdp_agriculture_animal_husbandry	this_building	100.0	50.0	0.0
3c_barb_agriculture_nomad_herd_4	rom_building_public_order_happiness	this_province	-6.0	-3.0	0.0
3c_barb_agriculture_nomad_herd_4	rom_building_squalor	this_region	5.0	8.0	10.0
3c_barb_agriculture_nomad_weaver_2	rom_building_food_farming_grain	this_region	5.0	5.0	0.0
3c_barb_agriculture_nomad_weaver_2	rom_building_gdp_agriculture_animal_husbandry	this_building	100.0	50.0	0.0
3c_barb_agriculture_nomad_weaver_2	rom_building_squalor	this_region	1.0	2.0	2.0
3c_barb_agriculture_nomad_weaver_3	rom_building_food_farming_grain	this_region	7.0	7.0	0.0
3c_barb_agriculture_nomad_weaver_3	rom_building_gdp_agriculture_animal_husbandry	this_building	175.0	87.0	0.0
3c_barb_agriculture_nomad_weaver_3	rom_building_public_order_happiness	this_province	-3.0	-2.0	0.0
3c_barb_agriculture_nomad_weaver_3	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_agriculture_nomad_weaver_4	rom_building_food_farming_grain	this_region	9.0	9.0	0.0
3c_barb_agriculture_nomad_weaver_4	rom_building_gdp_agriculture_animal_husbandry	this_building	250.0	125.0	0.0
3c_barb_agriculture_nomad_weaver_4	rom_building_public_order_happiness	this_province	-6.0	-3.0	0.0
3c_barb_agriculture_nomad_weaver_4	rom_building_squalor	this_region	5.0	8.0	10.0
3c_barb_amber_1	rom_building_gdp_trade_local	this_building	150.0	75.0	0.0
3c_barb_amber_1	rom_building_growth_all	this_province	1.0	1.0	0.0
3c_barb_amber_1	rom_building_public_order_happiness	this_province	1.0	1.0	0.0
3c_barb_amber_1	rom_building_trade_tariffs_all	this_faction	2.0	1.0	0.0
3c_barb_amber_1	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_amber_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_amber_2	rom_building_gdp_trade_local	this_building	250.0	125.0	0.0
3c_barb_amber_2	rom_building_growth_all	this_province	2.0	2.0	0.0
3c_barb_amber_2	rom_building_public_order_happiness	this_province	2.0	1.0	0.0
3c_barb_amber_2	rom_building_road	this_region	3.0	3.0	3.0
3c_barb_amber_2	rom_building_squalor	this_region	2.0	3.0	4.0
3c_barb_amber_2	rom_building_trade_tariffs_all	this_faction	4.0	2.0	0.0
3c_barb_amber_2	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_amber_3	rom_building_food_consumption	this_region	4.0	4.0	0.0
3c_barb_amber_3	rom_building_gdp_trade_local	this_building	350.0	175.0	0.0
3c_barb_amber_3	rom_building_growth_all	this_province	3.0	3.0	0.0
3c_barb_amber_3	rom_building_public_order_happiness	this_province	3.0	2.0	0.0
3c_barb_amber_3	rom_building_road	this_region	3.0	3.0	3.0
3c_barb_amber_3	rom_building_squalor	this_region	4.0	6.0	8.0
3c_barb_amber_3	rom_building_trade_tariffs_all	this_faction	6.0	3.0	0.0
3c_barb_amber_3	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_amber_4	rom_building_food_consumption	this_region	8.0	8.0	0.0
3c_barb_amber_4	rom_building_gdp_trade_local	this_building	500.0	250.0	0.0
3c_barb_amber_4	rom_building_growth_all	this_province	4.0	4.0	0.0
3c_barb_amber_4	rom_building_public_order_happiness	this_province	4.0	2.0	0.0
3c_barb_amber_4	rom_building_road	this_region	3.0	3.0	3.0
3c_barb_amber_4	rom_building_squalor	this_region	6.0	9.0	12.0
3c_barb_amber_4	rom_building_trade_tariffs_all	this_faction	8.0	4.0	0.0
3c_barb_amber_4	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_artisan_1	rom_building_gdp_industry_manufacture	this_building	50.0	25.0	0.0
3c_barb_artisan_bronze_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_artisan_bronze_2	rom_building_gdp_industry_manufacture	this_building	70.0	35.0	0.0
3c_barb_artisan_bronze_2	rom_building_squalor	this_region	2.0	3.0	4.0
3c_barb_artisan_bronze_3	rom_building_food_consumption	this_region	2.0	2.0	0.0
3c_barb_artisan_bronze_3	rom_building_gdp_industry_manufacture	this_building	100.0	50.0	0.0
3c_barb_artisan_bronze_3	rom_building_squalor	this_region	4.0	6.0	8.0
3c_barb_artisan_bronze_4	rom_building_food_consumption	this_region	5.0	5.0	0.0
3c_barb_artisan_bronze_4	rom_building_gdp_industry_manufacture	this_building	150.0	75.0	0.0
3c_barb_artisan_bronze_4	rom_building_squalor	this_region	6.0	9.0	12.0
3c_barb_artisan_coin_2	3c_banditry_building	this_province	6.0	6.0	6.0
3c_barb_artisan_coin_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_artisan_coin_2	rom_building_gdp_trade_local	this_building	200.0	50.0	0.0
3c_barb_artisan_coin_2	rom_building_squalor	this_region	2.0	3.0	4.0
3c_barb_artisan_coin_3	3c_banditry_building	this_province	7.0	7.0	7.0
3c_barb_artisan_coin_3	rom_building_food_consumption	this_region	2.0	2.0	0.0
3c_barb_artisan_coin_3	rom_building_gdp_trade_local	this_building	400.0	100.0	0.0
3c_barb_artisan_coin_3	rom_building_squalor	this_region	4.0	6.0	8.0
3c_barb_artisan_coin_4	3c_banditry_building	this_province	8.0	8.0	8.0
3c_barb_artisan_coin_4	rom_building_food_consumption	this_region	5.0	5.0	0.0
3c_barb_artisan_coin_4	rom_building_gdp_trade_local	this_building	600.0	200.0	0.0
3c_barb_artisan_coin_4	rom_building_squalor	this_region	6.0	9.0	12.0
3c_barb_artisan_maker_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_artisan_maker_2	rom_building_gdp_industry_manufacture	this_building	80.0	40.0	0.0
3c_barb_artisan_maker_2	rom_building_gdp_mod_culture_entertainment	regions_in_this_province	4.0	2.0	0.0
3c_barb_artisan_maker_2	rom_building_public_order_happiness	this_province	2.0	1.0	0.0
3c_barb_artisan_maker_2	rom_building_squalor	this_region	2.0	3.0	4.0
3c_barb_artisan_maker_3	rom_building_food_consumption	this_region	2.0	2.0	0.0
3c_barb_artisan_maker_3	rom_building_gdp_industry_manufacture	this_building	160.0	80.0	0.0
3c_barb_artisan_maker_3	rom_building_gdp_mod_culture_entertainment	regions_in_this_province	8.0	4.0	0.0
3c_barb_artisan_maker_3	rom_building_public_order_happiness	this_province	4.0	2.0	0.0
3c_barb_artisan_maker_3	rom_building_squalor	this_region	4.0	6.0	8.0
3c_barb_artisan_maker_4	rom_building_food_consumption	this_region	5.0	5.0	0.0
3c_barb_artisan_maker_4	rom_building_gdp_industry_manufacture	this_building	240.0	120.0	0.0
3c_barb_artisan_maker_4	rom_building_gdp_mod_culture_entertainment	regions_in_this_province	12.0	6.0	0.0
3c_barb_artisan_maker_4	rom_building_public_order_happiness	this_province	6.0	3.0	0.0
3c_barb_artisan_maker_4	rom_building_squalor	this_region	6.0	9.0	12.0
3c_barb_city_1	rom_building_gdp_mod_all	regions_in_this_province	6.0	3.0	0.0
3c_barb_city_1	rom_building_gdp_subsistence	this_building	200.0	100.0	0.0
3c_barb_city_1	rom_building_growth_all	this_province	3.0	3.0	0.0
3c_barb_city_1	rom_hidden_walls_8m	this_region	1.0	1.0	1.0
3c_barb_city_1	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_city_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_city_2	rom_building_gdp_mod_all	regions_in_this_province	8.0	4.0	0.0
3c_barb_city_2	rom_building_gdp_subsistence	this_building	300.0	150.0	0.0
3c_barb_city_2	rom_building_growth_all	this_province	5.0	5.0	0.0
3c_barb_city_2	rom_building_public_order_happiness	this_province	2.0	1.0	0.0
3c_barb_city_2	rom_building_road	this_region	5.0	5.0	5.0
3c_barb_city_2	rom_building_squalor	this_region	1.0	2.0	2.0
3c_barb_city_2	rom_building_wall_defences_enable_arrow_towers	this_region	1.0	1.0	0.0
3c_barb_city_2	rom_hidden_walls_8m	this_region	1.0	1.0	1.0
3c_barb_city_2	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_city_3	rom_building_defence_artillery_slots	this_region	2.0	1.0	0.0
3c_barb_city_3	rom_building_food_consumption	this_region	4.0	4.0	0.0
3c_barb_city_3	rom_building_gdp_mod_all	regions_in_this_province	10.0	5.0	0.0
3c_barb_city_3	rom_building_gdp_subsistence	this_building	400.0	200.0	0.0
3c_barb_city_3	rom_building_growth_all	this_province	7.0	7.0	0.0
3c_barb_city_3	rom_building_public_order_happiness	this_province	4.0	2.0	0.0
3c_barb_city_3	rom_building_road	this_region	10.0	10.0	10.0
3c_barb_city_3	rom_building_squalor	this_region	2.0	3.0	4.0
3c_barb_city_3	rom_building_wall_defences_enable_arrow_towers	this_region	1.0	1.0	0.0
3c_barb_city_3	rom_hidden_walls_8m	this_region	1.0	1.0	1.0
3c_barb_city_3	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_city_industry_4	rom_building_defence_artillery_slots	this_region	3.0	2.0	1.0
3c_barb_city_industry_4	rom_building_food_consumption	this_region	8.0	8.0	0.0
3c_barb_city_industry_4	rom_building_gdp_mod_industry	regions_in_this_province	20.0	10.0	0.0
3c_barb_city_industry_4	rom_building_gdp_subsistence	this_building	800.0	400.0	0.0
3c_barb_city_industry_4	rom_building_growth_all	this_province	9.0	9.0	0.0
3c_barb_city_industry_4	rom_building_public_order_happiness	this_province	8.0	4.0	0.0
3c_barb_city_industry_4	rom_building_road	this_region	15.0	15.0	15.0
3c_barb_city_industry_4	rom_building_squalor	this_region	4.0	6.0	8.0
3c_barb_city_industry_4	rom_building_wall_defences_enable_scorpio_towers	this_region	1.0	1.0	0.0
3c_barb_city_industry_4	rom_hidden_walls_8m	this_region	1.0	1.0	1.0
3c_barb_city_industry_4	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_city_trade_4	rom_building_defence_artillery_slots	this_region	3.0	2.0	1.0
3c_barb_city_trade_4	rom_building_food_consumption	this_region	8.0	8.0	0.0
3c_barb_city_trade_4	rom_building_gdp_mod_trade_all	regions_in_this_province	20.0	10.0	0.0
3c_barb_city_trade_4	rom_building_gdp_subsistence	this_building	800.0	400.0	0.0
3c_barb_city_trade_4	rom_building_growth_all	this_province	9.0	9.0	0.0
3c_barb_city_trade_4	rom_building_public_order_happiness	this_province	8.0	4.0	0.0
3c_barb_city_trade_4	rom_building_road	this_region	15.0	15.0	15.0
3c_barb_city_trade_4	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_city_trade_4	rom_building_wall_defences_enable_scorpio_towers	this_region	1.0	1.0	0.0
3c_barb_city_trade_4	rom_hidden_walls_8m	this_region	1.0	1.0	1.0
3c_barb_city_trade_4	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_city_tribal_4	rom_building_defence_artillery_slots	this_region	3.0	2.0	1.0
3c_barb_city_tribal_4	rom_building_food_consumption	this_region	8.0	8.0	0.0
3c_barb_city_tribal_4	rom_building_gdp_mod_all	regions_in_this_province	12.0	6.0	0.0
3c_barb_city_tribal_4	rom_building_gdp_subsistence	this_building	800.0	400.0	0.0
3c_barb_city_tribal_4	rom_building_growth_all	this_province	9.0	9.0	0.0
3c_barb_city_tribal_4	rom_building_public_order_happiness	this_province	8.0	4.0	0.0
3c_barb_city_tribal_4	rom_building_road	this_region	15.0	15.0	15.0
3c_barb_city_tribal_4	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_city_tribal_4	rom_building_wall_defences_enable_scorpio_towers	this_region	1.0	1.0	0.0
3c_barb_city_tribal_4	rom_hidden_walls_8m	this_region	1.0	1.0	1.0
3c_barb_city_tribal_4	rom_region_line_of_sight_extension	this_region	12.0	12.0	12.0
3c_barb_commons_1	rom_building_gdp_culture_entertainment	this_building	50.0	25.0	0.0
3c_barb_commons_1	rom_building_public_order_happiness	this_province	1.0	1.0	0.0
3c_barb_commons_chieftan_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_commons_chieftan_2	rom_building_gdp_subsistence	this_building	100.0	50.0	0.0
3c_barb_commons_chieftan_2	rom_building_public_order_happiness	this_province	2.0	1.0	0.0
3c_barb_commons_chieftan_2	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_chieftan_3	rom_building_food_consumption	this_region	4.0	4.0	0.0
3c_barb_commons_chieftan_3	rom_building_gdp_subsistence	this_building	150.0	75.0	0.0
3c_barb_commons_chieftan_3	rom_building_public_order_happiness	this_province	4.0	2.0	0.0
3c_barb_commons_chieftan_3	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_chieftan_4	rom_building_food_consumption	this_region	8.0	8.0	0.0
3c_barb_commons_chieftan_4	rom_building_gdp_subsistence	this_building	200.0	100.0	0.0
3c_barb_commons_chieftan_4	rom_building_public_order_happiness	this_province	6.0	3.0	0.0
3c_barb_commons_chieftan_4	rom_building_road	this_region	3.0	3.0	2.0
3c_barb_commons_chieftan_5	rom_building_food_consumption	this_region	8.0	8.0	0.0
3c_barb_commons_chieftan_5	rom_building_gdp_subsistence	this_building	400.0	200.0	0.0
3c_barb_commons_chieftan_5	rom_building_public_order_happiness	this_province	10.0	5.0	0.0
3c_barb_commons_chieftan_5	rom_building_road	this_region	3.0	3.0	2.0
3c_barb_commons_chieftan_5	rom_character_power_to_ruling_party_per_turn	this_faction	2.0	1.0	0.0
3c_barb_commons_lore_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_commons_lore_2	rom_building_gdp_culture_learning	this_building	70.0	35.0	0.0
3c_barb_commons_lore_2	rom_building_research_points	this_faction	5.0	3.0	0.0
3c_barb_commons_lore_2	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_lore_3	rom_building_food_consumption	this_region	2.0	1.0	0.0
3c_barb_commons_lore_3	rom_building_gdp_culture_learning	this_building	100.0	50.0	0.0
3c_barb_commons_lore_3	rom_building_research_points	this_faction	10.0	5.0	0.0
3c_barb_commons_lore_3	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_lore_4	rom_building_food_consumption	this_region	5.0	3.0	0.0
3c_barb_commons_lore_4	rom_building_gdp_culture_learning	this_building	150.0	75.0	0.0
3c_barb_commons_lore_4	rom_building_research_points	this_faction	20.0	10.0	0.0
3c_barb_commons_lore_4	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_market_2	3c_banditry_building	this_province	6.0	6.0	6.0
3c_barb_commons_market_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_commons_market_2	rom_building_gdp_mod_agriculture_all	regions_in_this_province	10.0	5.0	0.0
3c_barb_commons_market_2	rom_building_gdp_trade_local	this_building	160.0	40.0	0.0
3c_barb_commons_market_2	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_market_2	rom_building_squalor	this_region	2.0	3.0	4.0
3c_barb_commons_market_3	3c_banditry_building	this_province	7.0	7.0	7.0
3c_barb_commons_market_3	rom_building_food_consumption	this_region	4.0	4.0	0.0
3c_barb_commons_market_3	rom_building_gdp_mod_agriculture_all	regions_in_this_province	20.0	10.0	0.0
3c_barb_commons_market_3	rom_building_gdp_trade_local	this_building	320.0	80.0	0.0
3c_barb_commons_market_3	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_market_3	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_commons_market_4	3c_banditry_building	this_province	8.0	8.0	8.0
3c_barb_commons_market_4	rom_building_food_consumption	this_region	8.0	8.0	0.0
3c_barb_commons_market_4	rom_building_gdp_mod_agriculture_all	regions_in_this_province	30.0	15.0	0.0
3c_barb_commons_market_4	rom_building_gdp_trade_local	this_building	640.0	160.0	0.0
3c_barb_commons_market_4	rom_building_road	this_region	3.0	3.0	3.0
3c_barb_commons_market_4	rom_building_squalor	this_region	6.0	9.0	12.0
3c_barb_commons_nomad_1	rom_building_gdp_culture_entertainment	this_building	50.0	25.0	0.0
3c_barb_commons_nomad_chieftan_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_commons_nomad_chieftan_2	rom_building_gdp_subsistence	this_building	100.0	50.0	0.0
3c_barb_commons_nomad_chieftan_2	rom_building_public_order_happiness	this_province	2.0	1.0	0.0
3c_barb_commons_nomad_chieftan_2	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_nomad_chieftan_3	rom_building_food_consumption	this_region	4.0	4.0	0.0
3c_barb_commons_nomad_chieftan_3	rom_building_gdp_subsistence	this_building	150.0	75.0	0.0
3c_barb_commons_nomad_chieftan_3	rom_building_public_order_happiness	this_province	4.0	2.0	0.0
3c_barb_commons_nomad_chieftan_3	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_nomad_chieftan_4	rom_building_food_consumption	this_region	8.0	8.0	0.0
3c_barb_commons_nomad_chieftan_4	rom_building_gdp_subsistence	this_building	200.0	100.0	0.0
3c_barb_commons_nomad_chieftan_4	rom_building_public_order_happiness	this_province	6.0	3.0	0.0
3c_barb_commons_nomad_chieftan_4	rom_building_road	this_region	3.0	3.0	2.0
3c_barb_commons_nomad_lore_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_commons_nomad_lore_2	rom_building_gdp_culture_learning	this_building	70.0	35.0	0.0
3c_barb_commons_nomad_lore_2	rom_building_research_points	this_faction	5.0	3.0	0.0
3c_barb_commons_nomad_lore_2	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_nomad_lore_3	rom_building_food_consumption	this_region	2.0	1.0	0.0
3c_barb_commons_nomad_lore_3	rom_building_gdp_culture_learning	this_building	100.0	50.0	0.0
3c_barb_commons_nomad_lore_3	rom_building_research_points	this_faction	10.0	5.0	0.0
3c_barb_commons_nomad_lore_3	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_nomad_lore_4	rom_building_food_consumption	this_region	5.0	3.0	0.0
3c_barb_commons_nomad_lore_4	rom_building_gdp_culture_learning	this_building	150.0	75.0	0.0
3c_barb_commons_nomad_lore_4	rom_building_research_points	this_faction	20.0	10.0	0.0
3c_barb_commons_nomad_lore_4	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_nomad_market_2	3c_banditry_building	this_province	6.0	6.0	6.0
3c_barb_commons_nomad_market_2	rom_building_food_consumption	this_region	1.0	1.0	0.0
3c_barb_commons_nomad_market_2	rom_building_gdp_mod_agriculture_all	regions_in_this_province	10.0	5.0	0.0
3c_barb_commons_nomad_market_2	rom_building_gdp_trade_local	this_building	160.0	40.0	0.0
3c_barb_commons_nomad_market_2	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_nomad_market_2	rom_building_squalor	this_region	2.0	3.0	4.0
3c_barb_commons_nomad_market_3	3c_banditry_building	this_province	7.0	7.0	7.0
3c_barb_commons_nomad_market_3	rom_building_food_consumption	this_region	4.0	4.0	0.0
3c_barb_commons_nomad_market_3	rom_building_gdp_mod_agriculture_all	regions_in_this_province	20.0	10.0	0.0
3c_barb_commons_nomad_market_3	rom_building_gdp_trade_local	this_building	320.0	80.0	0.0
3c_barb_commons_nomad_market_3	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_nomad_market_3	rom_building_squalor	this_region	3.0	5.0	6.0
3c_barb_commons_nomad_market_4	3c_banditry_building	this_province	8.0	8.0	8.0
3c_barb_commons_nomad_market_4	rom_building_food_consumption	this_region	8.0	8.0	0.0
3c_barb_commons_nomad_market_4	rom_building_gdp_mod_agriculture_all	regions_in_this_province	30.0	15.0	0.0
3c_barb_commons_nomad_market_4	rom_building_gdp_trade_local	this_building	640.0	160.0	0.0
3c_barb_commons_nomad_market_4	rom_building_road	this_region	3.0	3.0	3.0
3c_barb_commons_nomad_market_4	rom_building_squalor	this_region	6.0	9.0	12.0
3c_barb_commons_nomad_slave_2	3c_banditry_building	this_province	6.0	6.0	6.0
3c_barb_commons_nomad_slave_2	rom_building_gdp_mod_agriculture_all	regions_in_this_province	15.0	5.0	0.0
3c_barb_commons_nomad_slave_2	rom_building_gdp_mod_industry	regions_in_this_province	15.0	5.0	0.0
3c_barb_commons_nomad_slave_2	rom_building_gdp_trade_local	this_building	200.0	50.0	0.0
3c_barb_commons_nomad_slave_2	rom_building_public_order_happiness	this_province	-4.0	-2.0	0.0
3c_barb_commons_nomad_slave_2	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_nomad_slave_2	rom_building_slave_decrease_mod	this_province	25.0	13.0	0.0
3c_barb_commons_nomad_slave_2	rom_building_slave_gpd_mod	this_province	25.0	13.0	0.0
3c_barb_commons_nomad_slave_2	rom_building_squalor	this_region	2.0	3.0	4.0
3c_barb_commons_nomad_slave_3	3c_banditry_building	this_province	8.0	8.0	8.0
3c_barb_commons_nomad_slave_3	rom_building_gdp_mod_agriculture_all	regions_in_this_province	30.0	10.0	0.0
3c_barb_commons_nomad_slave_3	rom_building_gdp_mod_industry	regions_in_this_province	30.0	10.0	0.0
3c_barb_commons_nomad_slave_3	rom_building_gdp_trade_local	this_building	500.0	125.0	0.0
3c_barb_commons_nomad_slave_3	rom_building_public_order_happiness	this_province	-8.0	-4.0	0.0
3c_barb_commons_nomad_slave_3	rom_building_road	this_region	2.0	2.0	2.0
3c_barb_commons_nomad_slave_3	rom_building_slave_decrease_mod	this_province	50.0	25.0	0.0
3c_barb_commons_nomad_slave_3	rom_building_slave_gpd_mod	this_province	50.0	25.0	0.0
3c_barb_commons_nomad_slave_3	rom_building_squalor	this_region	3.0	5.0	6.0
