technology	effect	effect_scope	value
3c_armenia_military_campaign_call_noblemen_to_arms	3c_force_unit_mod_commander_recruitment_cost	in_all_your_provinces	-100.0
3c_armenia_military_campaign_elevate_noble_houses	3c_tech_agent_cap_mod	this_faction	1.0
3c_armenia_military_campaign_elevate_noble_houses	3c_tech_force_cap_mod	this_faction	2.0
3c_armenia_military_campaign_elevate_noble_houses	edict_cap_bonus	this_faction	1.0
3c_armenia_military_campaign_employ_mardomard_champions	3c_tech_civil_champion_attributes_mod	all_agents	1.0
3c_armenia_military_campaign_employ_mardomard_champions	rom_tech_agent_champion_success_mod	all_agents	15.0
3c_armenia_military_campaign_enforce_conscription	rom_building_recruitment_points	in_all_your_provinces	1.0
3c_armenia_military_campaign_enforce_conscription	rom_building_recruitment_points_naval	in_all_your_sea_regions	1.0
3c_armenia_military_campaign_enforce_voluntary_service	rom_tech_military_management_upkeep_mod	in_all_your_forces	-10.0
3c_armenia_military_campaign_hasten_your_military_expanse	3c_tech_civil_engineering_military_build_time_mod	in_all_your_regions	-2.0
3c_armenia_military_campaign_hasten_your_military_expanse	rom_building_cost_mod_buildings_military	in_all_your_regions	-20.0
3c_armenia_military_campaign_hire_nisean_breeders	rom_force_campaign_mod_movement_range	in_all_your_forces	15.0
3c_armenia_military_campaign_improve_your_mercenary_administration	rom_tech_military_management_mercenary_cost	this_faction	-10.0
3c_armenia_military_campaign_reorganize_zoranamak	rom_tech_military_management_replenishment	in_all_your_forces	15.0
3c_armenia_military_campaign_starve_your_enemies	rom_tech_engineering_siege_defence_attrition_mod	all_your_generals	-100.0
3c_armenia_military_campaign_starve_your_enemies	rom_tech_engineering_siege_defence_time_mod	all_your_generals	5.0
3c_armenia_military_campaign_starve_your_enemies	rom_tech_engineering_siege_offence_attrition_mod	all_your_generals	-100.0
3c_armenia_military_campaign_starve_your_enemies	rom_tech_engineering_siege_offence_time_mod	all_your_generals	3.0
3c_armenia_military_top_expand_supply_chain	3c_tech_military_ammunition_mod_cavalry	in_all_your_armies	20.0
3c_armenia_military_top_expand_supply_chain	3c_tech_military_ammunition_mod_infantry	in_all_your_armies	20.0
3c_caledoni_civil_culture_adopt_civilization	3c_tech_civil_culture_diplomacy_latin	this_faction	20.0
3c_caledoni_civil_culture_embrace_civilization	3c_tech_civil_culture_foreign_culture_penalty_civilized	in_all_your_provinces	-50.0
3c_caledoni_civil_culture_promote_druidic_traditions	rom_any_corruption_mod_global	this_faction	-10.0
3c_caledoni_civil_culture_promote_druidic_traditions	rom_building_gdp_mod_culture_learning	in_all_your_regions	50.0
3c_caledoni_civil_culture_ressurect_druidic_order	rom_tech_agent_dignitary_success_mod	all_agents	15.0
3c_caledoni_civil_culture_ressurect_druidic_order	rom_tech_civil_philosophy_conversion_mod	this_faction	3.0
3c_caledoni_civil_culture_seek_ancient_knowledge	rom_building_research_points	this_faction	20.0
3c_caledoni_civil_culture_seek_out_sacred_places	rom_tech_engineering_construction_temple_cost_mod	in_all_your_regions	-10.0
3c_caledoni_civil_economy_concentrate_on_agriculture	rom_tech_civil_agriculture_farm_income_mod	in_all_your_regions	30.0
3c_caledoni_civil_economy_finance_merchantmen	3c_tech_civil_economy_trade_mod_roman_eastern	this_faction	50.0
3c_caledoni_civil_economy_finance_merchantmen	3c_technology_cost	this_faction	1500.0
3c_caledoni_civil_top_instil_dilligence	rom_tech_civil_economy_subsistence_gdp_mod	in_all_your_regions	15.0
3c_caledoni_military_battle_craft_tribal_totems	3c_force_unit_mod_melee_attack_defending	in_all_your_forces	10.0
3c_caledoni_military_battle_craft_tribal_totems	rom_force_unit_mod_morale_defending	in_all_your_forces	10.0
3c_caledoni_military_battle_gather_votive_offerings	rom_force_unit_mod_charge_bonus	in_all_your_armies	20.0
3c_caledoni_military_battle_gather_votive_offerings	rom_force_unit_mod_melee_attack	in_all_your_armies	20.0
3c_caledoni_military_battle_improve_chariots	3c_force_unit_mod_melee_defence_chariots	in_all_your_forces	10.0
3c_caledoni_military_battle_improve_chariots	rom_force_unit_mod_chariot_charge_bonus	in_all_your_forces	10.0
3c_caledoni_military_battle_issue_royal_war_horns	rom_force_unit_mod_charge_bonus	in_all_your_armies	10.0
3c_caledoni_military_campaign_become_one_with_land	rom_force_campaign_mod_ambush_attack_success_chance	in_all_your_forces	50.0
3c_caledoni_military_top_fight_for_freedom	3c_force_unit_mod_morale_own_territory	in_all_your_forces	15.0
3c_gallicemp_civil_culture_celebrate_roman_heritage	3c_tech_civil_culture_public_order_entertainment_buildings	in_all_your_regions	3.0
3c_gallicemp_civil_culture_conduct_latinization_campaign	rom_tech_civil_philosophy_conversion_mod	this_faction	4.0
3c_gallicemp_civil_culture_facilitate_urbanization	rom_tech_civil_economy_growth_mod	in_all_your_provinces	3.0
3c_gallicemp_civil_culture_hire_winemakers	3c_tech_civil_culture_winemaker_ancillaries	all_your_generals	1.0
3c_gallicemp_civil_culture_pacify_the_chieftains	3c_tech_civil_culture_diplomacy_german	this_faction	25.0
3c_gallicemp_civil_economy_banquets	rom_tech_civil_economy_culture_gdp_mod	in_all_your_regions	20.0
3c_gallicemp_civil_economy_invest_in_agriculture	3c_technology_cost	this_faction	1000.0
3c_gallicemp_civil_economy_invest_in_agriculture	rom_tech_civil_economy_agriculture_gdp_mod	in_all_your_regions	80.0
3c_gallicemp_civil_governance_reinstitute_the_republic	3c_tech_civil_economy_banditry_reduce_all	this_faction	-12.0
3c_gallicemp_civil_governance_reinstitute_the_republic	3c_tech_civil_governance_political_party_loyalty_republic	this_faction	15.0
3c_gallicemp_civil_top_gain_political_support	rom_faction_political_party_loyalty	this_faction	10.0
3c_gallicemp_civil_top_gain_political_support	rom_tech_civil_philosophy_political_political_event_mod	this_faction	-10.0
3c_gallicemp_military_top_conscript_germanic_soldiers	rom_force_unit_mod_infantry_melee_defence	in_all_your_armies	10.0
3c_gothi_civil_culture_expand_elder_futhark	rom_building_agent_cost_mod	in_all_your_provinces	-20.0
3c_gothi_civil_culture_expand_the_cult_of_gaut	rom_tech_civil_philosophy_conversion_mod	this_faction	10.0
3c_gothi_civil_culture_incite_the_tribes	3c_tech_civil_culture_diplomacy_barbarian	this_faction	20.0
3c_gothi_civil_culture_revive_bardic_traditions	rom_building_gdp_mod_culture_entertainment	in_all_your_regions	20.0
3c_gothi_civil_culture_sanction_religious_processions	3c_tech_civil_economy_banditry_reduce_all	this_faction	-8.0
3c_gothi_civil_culture_sanction_religious_processions	rom_province_initiative_festival_mod_happiness_entertainment	in_all_your_provinces	5.0
3c_gothi_civil_culture_send_out_traveling_bards	3c_tech_civil_culture_diplomacy_all	this_faction	40.0
3c_gothi_civil_economy_employ_gemcutters	rom_building_gdp_mod_industry_manufacturing	in_all_your_regions	20.0
3c_gothi_civil_economy_encourage_crafts_specialization	rom_tech_civil_economy_subsistence_gdp_mod	in_all_your_regions	50.0
3c_gothi_civil_economy_focus_on_agriculture	3c_tech_civil_economy_food_from_farms	in_all_your_regions	2.0
3c_gothi_civil_governance_command_hygiene	rom_building_sanitation	in_all_your_regions	5.0
3c_gothi_civil_governance_demand_oaths_of_fealty	rom_faction_political_party_loyalty	this_faction	20.0
3c_gothi_civil_governance_improve_housing	rom_tech_civil_economy_growth_mod	in_all_your_provinces	4.0
3c_gothi_civil_governance_intimidate_the_opposition	rom_tech_civil_philosophy_political_political_event_mod	this_faction	-20.0
3c_gothi_civil_governance_proclaim_legendary_reikdom	3c_tech_civil_governance_recruitment_points_hereditary_monarchy	in_all_your_provinces	1.0
3c_gothi_civil_governance_proclaim_legendary_reikdom	3c_tech_civil_governance_unit_mod_experience_kingdom	in_all_your_provinces	2.0
3c_gothi_civil_governance_promise_glory	rom_tech_civil_philosophy_happiness_mod	in_all_your_provinces	6.0
3c_gothi_civil_top_organize_the_tribe	rom_tech_civil_economy_growth_mod	in_all_your_provinces	2.0
3c_gothi_civil_top_organize_the_tribe	rom_tech_civil_economy_industry_gdp_mod	in_all_your_regions	10.0
3c_gothi_military_battle_favor_the_greuthungi	3c_force_unit_mod_greuthungi_weapon_damage	in_all_your_forces	30.0
3c_gothi_military_battle_favor_the_greuthungi	3c_tech_military_fatigue_resistance_greuthungi	in_all_your_forces	1.0
3c_gothi_military_battle_favor_the_greuthungi	3c_technology_cost	this_faction	1000.0
3c_gothi_military_battle_favor_the_tervingi	3c_force_unit_mod_tervingi_weapon_damage	in_all_your_forces	30.0
3c_gothi_military_battle_favor_the_tervingi	3c_tech_military_fatigue_resistance_tervingi	in_all_your_forces	1.0
3c_gothi_military_battle_favor_the_tervingi	3c_technology_cost	this_faction	1000.0
3c_gothi_military_battle_gather_footmen	3c_force_unit_mod_infantry_battle_speed	in_all_your_forces	10.0
3c_gothi_military_battle_gather_footmen	rom_force_unit_mod_infantry_charge_bonus	in_all_your_forces	10.0
3c_gothi_military_battle_gather_footmen	rom_force_unit_mod_infantry_melee_attack	in_all_your_forces	10.0
3c_gothi_military_battle_gather_horsemen	3c_force_unit_mod_cavalry_battle_speed	in_all_your_forces	10.0
3c_gothi_military_battle_gather_horsemen	rom_force_unit_mod_cavalry_charge_bonus	in_all_your_forces	10.0
3c_gothi_military_battle_gather_horsemen	rom_force_unit_mod_cavalry_melee_attack	in_all_your_forces	10.0
3c_gothi_military_battle_gather_sailors	3c_force_unit_mod_ship_crew_melee_attack	in_all_your_navies	20.0
3c_gothi_military_battle_gather_sailors	3c_force_unit_mod_ship_crew_morale	in_all_your_navies	10.0
3c_gothi_military_battle_gather_sailors	rom_tech_military_navy_battle_speed_mod	in_all_your_navies	7.0
3c_gothi_military_battle_issue_infantry_chainmail	3c_force_unit_mod_armour_infantry	in_all_your_forces	10.0
3c_gothi_military_battle_issue_infantry_chainmail	3c_technology_cost	this_faction	1000.0
3c_gothi_military_battle_issue_oaken_ship_hulls	rom_force_unit_mod_hull_armour	in_all_your_navies	20.0
3c_gothi_military_battle_practice_boar_head_formation	rom_force_unit_mod_infantry_melee_attack	in_all_your_forces	10.0
3c_gothi_military_battle_practice_boar_head_formation	rom_force_unit_mod_infantry_melee_defence	in_all_your_forces	10.0
3c_gothi_military_battle_spread_stories_black_sea_raiders	3c_force_unit_mod_charge_bonus_versus_roman_eastern	in_all_your_forces	10.0
3c_gothi_military_battle_spread_stories_black_sea_raiders	3c_force_unit_mod_melee_attack_versus_roman_eastern	in_all_your_forces	10.0
3c_gothi_military_battle_spread_stories_black_sea_raiders	3c_force_unit_mod_ramming_bonus_versus_roman_eastern	in_all_your_navies	10.0
3c_gothi_military_battle_spread_stories_black_sea_raiders	3c_tech_military_tactics_ship_armour_mod_versus_roman_eastern	in_all_your_navies	10.0
3c_gothi_military_campaign_copy_roman_smithing	rom_building_recruitment_cost_mod_land	in_all_your_provinces	-10.0
3c_gothi_military_campaign_encourage_oneonone_training	rom_building_recruitment_agent_level_champion	in_all_your_provinces	1.0
3c_gothi_military_campaign_encourage_oneonone_training	rom_tech_agent_champion_cost_mod	in_all_your_provinces	-20.0
3c_gothi_military_campaign_expand_warleader_retinue	rom_building_recruitment_points	in_all_your_provinces	1.0
3c_gothi_military_campaign_expand_warleader_retinue	rom_building_recruitment_points_naval	in_all_your_sea_regions	1.0
3c_gothi_military_campaign_fortify_wagon_laager	3c_force_unit_mod_missile_damage_defending	in_all_your_armies	20.0
3c_gothi_military_campaign_fortify_wagon_laager	3c_force_unit_mod_missile_range_defending	in_all_your_armies	10.0
3c_gothi_military_campaign_fortify_wagon_laager	rom_force_unit_mod_morale_defending	in_all_your_armies	20.0
3c_gothi_military_campaign_improve_mercenary_administration	rom_tech_military_management_mercenary_cost	this_faction	-15.0
3c_gothi_military_campaign_kidnap_foreign_siege_specialists	rom_tech_engineering_siege_defence_attrition_mod	all_your_generals	-100.0
3c_gothi_military_campaign_kidnap_foreign_siege_specialists	rom_tech_engineering_siege_defence_time_mod	all_your_generals	4.0
3c_gothi_military_campaign_kidnap_foreign_siege_specialists	rom_tech_engineering_siege_offence_attrition_mod	all_your_generals	-100.0
3c_gothi_military_campaign_kidnap_foreign_siege_specialists	rom_tech_engineering_siege_offence_time_mod	all_your_generals	2.0
3c_gothi_military_campaign_live_off_the_land	rom_tech_military_management_army_action_points	in_all_your_armies	8.0
3c_gothi_military_campaign_organize_pillaging	3c_force_mod_income_raiding_sacking	in_all_your_forces	15.0
3c_gothi_military_campaign_send_out_forage_parties	rom_tech_military_management_replenishment	in_all_your_forces	15.0
3c_gothi_military_top_stand_together	3c_force_unit_mod_morale_enemy_territory	in_all_your_forces	10.0
3c_marcomanni_civil_culture_worship_wodanaz	3c_tech_civil_engineering_wodanaz_temple_build_time_mod	in_all_your_regions	-2.0
3c_marcomanni_civil_culture_worship_wodanaz	3c_tech_civil_engineering_wodanaz_temple_cost_mod	in_all_your_regions	-25.0
3c_marcomanni_civil_culture_worship_wodanaz	3c_tech_civil_engineering_wodanaz_temple_gdp_mod	in_all_your_regions	20.0
3c_marcomanni_civil_economy_exploit_natural_resources	rom_building_gdp_mod_industry_mining	in_all_your_regions	25.0
3c_marcomanni_civil_economy_gift_slaves_to_nobility	rom_building_slave_gpd_mod	in_all_your_provinces	100.0
3c_marcomanni_civil_governance_proclaim_legendary_kingdom	3c_tech_civil_governance_recruitment_points_hereditary_monarchy	in_all_your_provinces	1.0
3c_marcomanni_civil_governance_proclaim_legendary_kingdom	3c_tech_civil_governance_unit_mod_experience_kingdom	in_all_your_provinces	2.0
3c_marcomanni_civil_top_integrate_slaves	rom_building_slave_happiness_mod	in_all_your_provinces	-40.0
3c_marcomanni_civil_top_integrate_slaves	rom_tech_civil_economy_growth_mod	in_all_your_provinces	2.0
3c_marcomanni_military_battle_embrace_mother_night	rom_force_campaign_mod_ambush_attack_success_chance	in_all_your_forces	25.0
3c_marcomanni_military_battle_embrace_mother_night	rom_force_unit_mod_morale_during_night	in_all_your_forces	15.0
3c_marcomanni_military_battle_practice_war_dances	rom_force_unit_mod_infantry_melee_defence	in_all_your_forces	10.0
3c_marcomanni_military_battle_scout_settlements	3c_force_unit_mod_siege_attack_morale	in_all_your_forces	15.0
3c_marcomanni_military_battle_train_with_longbows	rom_force_unit_mod_bows_missile_range	in_all_your_forces	15.0
3c_marcomanni_military_campaign_strip_them_bare	3c_force_mod_income_raiding_sacking	in_all_your_armies	200.0
3c_marcomanni_military_campaign_strip_them_bare	rom_general_force_mod_slave_capture	in_all_your_forces	50.0
3c_marcomanni_military_top_incite_lust_for_battle	rom_force_unit_mod_infantry_charge_bonus	in_all_your_forces	15.0
3c_palmyra_civil_culture_educate_emissaries	rom_tech_agent_dignitary_action_cost_mod	all_agents	-20.0
3c_palmyra_civil_culture_educate_emissaries	rom_tech_agent_dignitary_cost_mod	in_all_your_provinces	-20.0
3c_palmyra_civil_culture_educate_emissaries	rom_tech_agent_dignitary_success_mod	all_agents	10.0
3c_palmyra_civil_culture_exploit_diplomatic_opportunity	3c_tech_civil_culture_diplomacy_arabian	this_faction	20.0
3c_palmyra_civil_culture_exploit_diplomatic_opportunity	3c_tech_civil_culture_diplomacy_eastern	this_faction	20.0
3c_palmyra_civil_culture_finance_philosophers	3c_technology_cost	this_faction	500.0
3c_palmyra_civil_culture_finance_philosophers	rom_building_research_points	this_faction	10.0
3c_palmyra_civil_culture_promote_religious_tolerance	rom_faction_public_order_foreign_culture_penalty	in_all_your_provinces	-100.0
3c_palmyra_civil_culture_uphold_palmyrean_gods	rom_province_initiative_festival_mod_happiness_entertainment	in_all_your_provinces	5.0
3c_palmyra_civil_culture_uphold_palmyrean_gods	rom_province_initiative_non_barbarian_taxes_mod_taxrate	in_all_your_provinces	5.0
3c_palmyra_civil_culture_uphold_palmyrean_gods	rom_province_initiative_roman_romanisation_mod_cultural_conversion	in_all_your_provinces	5.0
3c_palmyra_civil_culture_uphold_palmyrean_gods	rom_province_initiative_trade_mod_gdp_trade_mod	in_all_your_provinces	20.0
3c_palmyra_civil_governance_become_augusta	edict_cap_bonus	this_faction	1.0
3c_palmyra_civil_governance_gain_favors	rom_faction_political_party_loyalty	this_faction	15.0
3c_palmyra_civil_top_become_regent	3c_tech_civil_culture_foreign_culture_penalty	in_all_your_provinces	-30.0
3c_palmyra_civil_top_become_regent	rom_building_research_points	this_faction	5.0
3c_palmyra_military_battle_adhere_greek_warfare_traditions	3c_force_unit_mod_infantry_spears_morale	in_all_your_forces	8.0
3c_palmyra_military_battle_adhere_greek_warfare_traditions	rom_force_unit_mod_infantry_spears_melee_defence	in_all_your_forces	12.0
3c_palmyra_military_battle_seek_out_foreign_veterans	3c_force_unit_mod_mercenary_melee_attack	in_all_your_forces	10.0
3c_palmyra_military_battle_seek_out_foreign_veterans	3c_force_unit_mod_mercenary_melee_defence	in_all_your_forces	10.0
3c_palmyra_military_battle_seek_out_foreign_veterans	3c_force_unit_mod_mercenary_weapon_damage	in_all_your_forces	10.0
3c_palmyra_military_battle_study_nubian_archery	rom_force_unit_mod_missile_damage	in_all_your_forces	10.0
3c_palmyra_military_battle_study_nubian_archery	rom_force_unit_mod_missile_rate	in_all_your_forces	15.0
3c_palmyra_military_battle_utilize_elite_alae	rom_force_unit_mod_cavalry_charge_bonus	in_all_your_armies	10.0
3c_palmyra_military_battle_utilize_elite_alae	rom_force_unit_mod_cavalry_melee_attack	in_all_your_armies	7.0
3c_palmyra_military_battle_utilize_elite_alae	rom_force_unit_mod_cavalry_melee_defence	in_all_your_armies	10.0
3c_palmyra_military_battle_utilize_elite_alae	rom_force_unit_mod_cavalry_missile_rate	in_all_your_armies	15.0
3c_palmyra_military_campaign_compile_war_manuals	rom_force_unit_mod_experience_gain_rate	in_all_your_forces	20.0
3c_palmyra_military_top_recruit_experienced_troops	rom_force_unit_mod_experience_base	in_all_your_provinces	1.0
3c_rome_civil_culture_dies_natalis_solis_invicti	3c_tech_civil_engineering_solinvictus_temple_cost_mod	in_all_your_regions	-30.0
3c_rome_civil_culture_dies_natalis_solis_invicti	3c_tech_civil_engineering_solinvictus_temple_public_order	in_all_your_regions	2.0
3c_rome_civil_culture_gain_frumentarii_allegiance	rom_building_recruitment_agent_level_spy	in_all_your_provinces	1.0
3c_rome_civil_culture_gain_frumentarii_allegiance	rom_tech_agent_scout_action_cost_mod	all_agents	-20.0
3c_rome_civil_culture_organize_religious_prosecution	3c_tech_civil_engineering_cult_buildings_demolition_cost_mod	in_all_your_regions	-60.0
3c_rome_civil_culture_secure_border_treaties	3c_tech_civil_culture_diplomacy_barbarian	this_faction	20.0
3c_rome_civil_culture_send_diplomatic_gifts	3c_tech_civil_culture_diplomacy_mod	this_faction	30.0
3c_rome_civil_culture_send_diplomatic_gifts	3c_technology_cost	this_faction	3000.0
3c_rome_civil_economy_invest_in_manufacturing	3c_technology_cost	this_faction	1000.0
3c_rome_civil_economy_invest_in_manufacturing	rom_tech_civil_economy_industry_gdp_mod	in_all_your_regions	100.0
