key	accuracy	ammo	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	dismounted_melee_defense	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	num_guns	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	chariot	num_chariots	reload	loose_spacing	spotting_and_hiding	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar
3c_Ala_Alani_Amazonian_Archers	20	15	cloth	2600	cavalry	4	cav_mis	2	7	2	Ama_Warriors_Long	rome_man_composite_bow_cavalry	rome_infantry_light	7	2	40	5	rome_scythian_horse_sword_l	0		80	rome_shortsword	rome_composite_bow_elite	4	none	Ama_Archers_Tooltip	missile_cav	archer_cav	false	poorly_trained	0	3c_Ala_Officer_Female			false	60.0	1500.0	0.0	missile_cavalry_parthian_cold	60.0	150.0		0	10	false	superior_scouting	selected_amazonian_riders_female	selected_cavalry_female	selected_riders_female	1.0
3c_Ala_Alani_Axe_Cavalry	5	0	padded_improved	2600	cavalry	35	cav_mel	28	40	9	3c_Axe_Warriors_Generic	rome_man_sword_shield_cavalry	rome_infantry_medium	52	16	38	15	rome_scythian_horse_spear_shield_m	0		80	rome_eastern_axe		4	none	3c_alani_axe_cavalry	cav_melee	melee_cav_poor	false	poorly_trained	0	3c_Ala_Officer_Cav_Axe			true	60.0	1500.0	0.0	melee_cavalry_cold	60.0	150.0		0	0	false	excellent_scouting	selected_cavalry	selected_cavalry_melee	selected_cavalry_melee	1.1
3c_Ala_Alani_Axemen	5	2	padded_improved	1900	inf_melee	22	inf_mel	22	40	24	3c_Axe_Warriors_Generic	rome_man_axe_shield	rome_infantry_medium_fast	36	24	40	10		0		0	rome_eastern_axe	rome_javelin_precursor	6	round	3c_alani_axemen	melee_inf_barb	axemen_good	false	poorly_trained	0	3c_Ala_Officer_Low_Tier			true	50.0	1500.0	0.0	melee_infantry_cold	50.0	100.0		0	0	false	average_scouting	selected_axemen	selected_axemen	selected_axemen	1.0
3c_Ala_Alani_Horse_Skirmishers	5	7	cloth	2600	cavalry	4	cav_mis	2	9	14	Eas_Horse_Skirm_Long	rome_man_javelin_sword_shield_cavalry	rome_infantry_light	9	14	45	10	rome_scythian_horse_sword_shield_vl	0		80	rome_shortsword	rome_javelin_improved	4	pelta_cavalry	3c_alani_horse_skirmishers	missile_cav	javelin_cav	false	poorly_trained	0	3c_Ala_Officer_Low_Tier_NoStandard			true	60.0	1500.0	0.0	missile_cavalry_cold	100.0	200.0		0	18	false	elite_scouting	selected_cavalry_missile	selected_cavalry_missile	selected_cavalry_missile	0.9
3c_Ala_Alani_Horsemen	5	0	padded	2600	cavalry	29	cav_mel	25	35	11	3c_Alani_Generic	rome_man_spear_shield_cavalry	rome_infantry_medium	44	20	38	15	rome_scythian_horse_spear_shield_m	0		80	rome_spear_cav		4	cavalry	3c_alani_horsemen	cav_melee	melee_cav_poor	false	poorly_trained	0	3c_Ala_Officer_Cav			true	60.0	1500.0	0.0	melee_cavalry_cold	60.0	150.0		0	0	false	excellent_scouting	selected_cavalry	selected_cavalry_melee	selected_cavalry_melee	1.1
3c_Ala_Alani_Nobles	5	0	scale	2600	cavalry	34	cav_mel	30	44	15	3c_Alani_Generic	rome_man_spear_shield_cavalry	rome_infantry_heavy	44	15	60	15	3c_Ala_Winged_Horse_Spear	0		80	rome_spear_cav_elite		4	cavalry	3c_alani_nobles	cav_melee	melee_cav_good	false	well_trained	0	3c_Ala_Officer_Cav			true	40.0	1500.0	0.0	melee_cavalry_cold	40.0	80.0		0	0	false	poor_scouting	selected_noble_cavalry	selected_cavalry_melee	selected_cavalry_melee	1.1
3c_Ala_Alani_Noblewomen_Archers	30	15	spolas	2600	cavalry	15	cav_mis	10	30	3	Ste_Archers_Long	rome_man_composite_bow_cavalry	rome_infantry_medium	30	3	60	10	rome_scythian_horse_sword_m	0		80	rome_steppe_sword	rome_composite_bow_elite	4	none	Ste_Noblewomen_Tooltip	missile_cav	archer_cav_elite	false	poorly_trained	0	3c_Ala_Officer_Female			false	60.0	1500.0	0.0	missile_cavalry_parthian_cold	50.0	100.0		0	23	false	good_scouting	selected_noble_riders_female	selected_archers_female	selected_cavalry_female	1.0
3c_Ala_Alani_Riders	5	0	cloth	2600	cavalry	33	cav_mel	29	39	11	3c_Alani_Generic	rome_man_spear_shield_cavalry	rome_infantry_light	39	11	45	10	rome_scythian_horse_spear_shield_l	0		80	rome_celtic_spear_cav		4	caetra_fast_cav	3c_alani_riders	cav_melee	melee_cav_poor	false	poorly_trained	0	3c_Ala_Officer_Low_Tier_NoStandard			true	60.0	1500.0	0.0	melee_cavalry_cold	100.0	200.0		0	0	false	elite_scouting	selected_riders	selected_riders	selected_cavalry	0.9
3c_Ala_Alani_Royal_Horses	5	0	scale_elite	2600	cavalry	43	cav_mel	26	49	23	3c_Alani_Generic	rome_man_spear_shield_cavalry	rome_infantry_very_heavy	49	23	70	20	3c_Ala_Winged_Horse_Spear	0		80	rome_spear_cav_elite		4	hoplite_cav	3c_alani_royal_horses	cav_melee	melee_cav_good	false	elite	0	3c_Ala_Officer_Cav			true	60.0	1500.0	0.0	melee_cavalry_elite_charge_reflector_cold	50.0	100.0		0	0	false	good_scouting	selected_royal_horsemen	selected_riders	selected_cavalry_melee	1.1
3c_Ala_Alani_Royal_Horses_comm	5	0	scale_elite	2600	cavalry	43	cav_mel	26	49	23	3c_Alani_Generic	rome_man_spear_shield_cavalry	rome_infantry_very_heavy	49	23	70	20	3c_Ala_Winged_Horse_Spear	0		80	rome_spear_cav_elite		4	hoplite_cav	3c_alani_royal_horses	cav_melee	melee_cav_good	false	elite	0	3c_Ala_Officer_Cav			true	60.0	1500.0	0.0	melee_cavalry_elite_charge_reflector_cold	50.0	100.0		0	0	false	good_scouting	selected_royal_horsemen	selected_riders	selected_cavalry_melee	1.1
3c_Ala_Alani_Swordsmen	5	2	padded_improved	1900	inf_melee	28	inf_mel	22	38	30	3c_Ala_Alani_Swordsmen	rome_man_sword_shield	rome_infantry_medium	34	26	35	10		0		0	rome_celtic_hellenic_sword	rome_javelin_precursor	6	oval	3c_alani_swordsmen	melee_inf_barb	melee_avg	false	poorly_trained	0	3c_Ala_Officer_Inf			true	50.0	1500.0	0.0	melee_infantry_cold	50.0	100.0		0	0	false	good_scouting	selected_swords	selected_swords	selected_swords	0.8
3c_Ala_Armoured_Axe_Warriors	5	2	scale	1900	inf_melee	25	inf_mel	25	45	26	3c_Axe_Warriors_Generic	rome_man_axe_shield	rome_infantry_heavy_fast	43	26	45	15		0		0	rome_eastern_axe	rome_javelin_precursor	6	round	3c_ste_armoured_axe_warriors	melee_inf_barb	axemen_good	false	trained	0	3c_Ala_Officer_Inf			true	40.0	1500.0	0.0	melee_infantry_cold	40.0	80.0		0	0	false	poor_scouting	selected_axemen	selected_axemen	selected_inf_melee	1.0
3c_Ala_Armoured_Steppe_Lancers	5	0	spolas	2600	cavalry	57	cav_shk	25	25	16	Ste_Lancers_Long	rome_man_lance_cavalry	rome_infantry_heavy	40	16	50	15	3c_Ala_Winged_Horse_Lance	0		80	rome_lance		4	none	3c_armoured_steppe_lancers	cav_melee	shock_cav_avg	false	poorly_trained	0	3c_Ala_Officer_Cav			true	60.0	1500.0	0.0	melee_cavalry_cold	50.0	100.0		0	0	false	good_scouting	selected_armoured_lancers	selected_steppe_lancers	selected_steppe_lancers	1.1
3c_Ala_Armoured_Steppe_Warriors	5	2	scale	1900	inf_melee	32	inf_mel	28	38	32	Ste_Tribesmen_Long	rome_man_sword_shield	rome_infantry_very_heavy	38	30	45	15		0		0	rome_celtic_hellenic_sword_elite	rome_javelin_precursor	6	round	3c_armoured_steppe_warriors	melee_inf_barb	melee_avg	false	trained	0	3c_Ala_Officer_Inf			true	50.0	1500.0	0.0	melee_infantry_cold	50.0	100.0		0	0	false	good_scouting	selected_swords	selected_swords	selected_swords	1.0
3c_Ala_Armoured_Steppe_Warriors_comm	5	2	scale	1900	inf_melee	32	inf_mel	28	38	32	Ste_Tribesmen_Long	rome_man_sword_shield	rome_infantry_very_heavy	38	30	45	15		0		0	rome_celtic_hellenic_sword_elite	rome_javelin_precursor	6	round	3c_armoured_steppe_warriors	melee_inf_barb	melee_avg	false	trained	0	3c_Ala_Officer_Inf			true	50.0	1500.0	0.0	melee_infantry_cold	50.0	100.0		0	0	false	good_scouting	selected_swords	selected_swords	selected_swords	1.0
3c_Ala_Noble_Steppe_Cataphracts	5	0	cataphract	2600	cavalry	80	cav_shk	29	35	13	3c_Eas_Noble_Cataphracts	rome_man_lance_cavalry	rome_infantry_very_heavy	46	21	70	30	cataphract_horse	0		80	rome_lance_elite		4	none	3c_ste_noble_cataphracts	cav_melee	shock_cav_good	false	elite	0	3c_Ala_Officer_Cav			true	40.0	1500.0	0.0	melee_cavalry_elite_charge_reflector_cold	40.0	80.0		0	0	false	poor_scouting	selected_royal_lancers	selected_steppe_lancers	selected_steppe_lancers	1.1
3c_Ala_Noble_Steppe_Cataphracts_comm	5	0	cataphract	2600	cavalry	80	cav_shk	29	35	13	3c_Eas_Noble_Cataphracts	rome_man_lance_cavalry	rome_infantry_very_heavy	46	21	70	30	cataphract_horse	0		80	rome_lance_elite		4	none	3c_ste_noble_cataphracts	cav_melee	shock_cav_good	false	elite	0	3c_Ala_Officer_Cav			true	40.0	1500.0	0.0	melee_cavalry_elite_charge_reflector_cold	40.0	80.0		0	0	false	poor_scouting	selected_royal_lancers	selected_steppe_lancers	selected_steppe_lancers	1.1
3c_Ala_Noble_Steppe_Lancers	5	0	scale	2600	cavalry	76	cav_shk	35	35	21	Ste_Lancers_Long	rome_man_lance_cavalry	rome_infantry_very_heavy	46	21	60	15	3c_Ala_Winged_Horse_Lance	0		80	rome_lance		4	none	Ste_Saka_Noble_Armour_Lancers_Tooltip	cav_melee	shock_cav_good	false	poorly_trained	0	3c_Ala_Officer_Cav			true	60.0	1500.0	0.0	melee_cavalry_cold	50.0	100.0		0	0	false	good_scouting	selected_steppe_noble_lancers	selected_steppe_lancers	selected_steppe_noble_lancers	1.1
3c_Ala_Steppe_Cataphract_Archers	5	15	cataphract	2600	cavalry	19	cav_mis	11	55	20	3c_Ste_Steppe_Horse_Archers	rome_man_composite_bow_cavalry	rome_infantry_heavy	55	20	70	15	cataphract_half_horse	0		80	rome_steppe_sword	rome_composite_bow_horse	4	none	3c_cataphract_archers	missile_cav	archer_cav_elite	false	elite	0	3c_Ala_Officer_Cav			true	60.0	1500.0	0.0	missile_cavalry_parthian_cold	50.0	150.0		0	33	false	excellent_scouting	selected_steppe_horse_archers	selected_steppe_archers	selected_steppe_archers	1.0
3c_Ala_Steppe_Cataphract_Archers_comm	5	15	cataphract	2600	cavalry	19	cav_mis	11	55	20	3c_Ste_Steppe_Horse_Archers	rome_man_composite_bow_cavalry	rome_infantry_heavy	55	20	70	15	cataphract_half_horse	0		80	rome_steppe_sword	rome_composite_bow_horse	4	none	3c_cataphract_archers	missile_cav	archer_cav_elite	false	elite	0	3c_Ala_Officer_Cav			true	60.0	1500.0	0.0	missile_cavalry_parthian_cold	50.0	150.0		0	33	false	excellent_scouting	selected_steppe_horse_archers	selected_steppe_archers	selected_steppe_horse_archers	1.0
3c_Ala_Steppe_Cavalry	5	0	scale	2600	cavalry	38	cav_mel	22	48	17	Ste_Sarmatian_Royal_Lancers_Long	rome_man_spear_shield_cavalry	rome_infantry_heavy	48	17	55	15	3c_Ala_Winged_Horse_Spear	0		80	rome_celtic_spear_cav		4	germanic_cav	3c_steppe_cavalry	cav_melee	melee_cav_avg	false	poorly_trained	0	3c_Ala_Officer_Cav			true	60.0	1500.0	0.0	melee_cavalry_cold	50.0	100.0		0	0	false	average_scouting	selected_horsemen	selected_horsemen	selected_cavalry	1.0
3c_Ala_Steppe_Horse_Archers	5	15	cloth	2600	cavalry	4	cav_mis	2	9	13	3c_Ste_Steppe_Horse_Archers	rome_man_composite_bow_cavalry	rome_infantry_light	9	13	30	10	rome_scythian_horse_sword_l	0		80	rome_shortsword	rome_composite_bow_horse	4	none	Ste_Horse_Archers_Tooltip	missile_cav	archer_cav	false	poorly_trained	0	3c_Ala_Officer_Low_Tier_NoStandard			true	60.0	1500.0	0.0	missile_cavalry_parthian_cold	60.0	150.0		0	18	false	superior_scouting	selected_steppe_archers	selected_horse_archers	selected_cavalry_missile	1.0
3c_Ala_Steppe_Horse_Skirmishers	5	7	cloth	2600	cavalry	4	cav_mis	2	9	13	Eas_Horse_Skirm_Long	rome_man_javelin_sword_shield_cavalry	rome_infantry_light	9	13	30	10	rome_hellenic_horse_sword_shield_l	0		80	rome_shortsword	rome_javelin	4	none	3c_steppe_horse_skirmishers	missile_cav	javelin_cav	false	poorly_trained	0	3c_Ala_Officer_Low_Tier_NoStandard			true	60.0	1500.0	0.0	missile_cavalry_cold	60.0	150.0		0	18	false	superior_scouting	selected_steppe_horse_skirmishers	selected_steppe_horse_skirmishers	selected_steppe_horse_skirmishers	1.0
3c_Ala_Steppe_Lancers	5	0	cloth	2600	cavalry	51	cav_shk	15	25	16	Ste_Lancers_Long	rome_man_lance_cavalry	rome_infantry_medium	34	16	35	10	rome_scythian_horse_lance_m	0		80	rome_lance		4	none	3c_steppe_lancers	cav_melee	shock_cav_poor	false	poorly_trained	0	3c_Ala_Officer_Low_Tier_NoStandard			true	60.0	1500.0	0.0	melee_cavalry_cold	60.0	150.0		0	0	false	excellent_scouting	selected_steppe_lancers	selected_steppe_lancers	selected_steppe_lancers	1.1
3c_Ala_Steppe_Warband	5	0	cloth	1900	inf_melee	25	inf_mel	20	23	22	Ste_Tribesmen_Long	rome_man_sword_shield	rome_infantry_light	25	22	25	5		0		0	rome_celtic_hellenic_sword		6	oval	3c_steppe_warband	melee_inf_barb	melee_poor	false	poorly_trained	0	3c_Ala_Officer_Low_Tier			true	60.0	1500.0	0.0	melee_infantry_cold	50.0	100.0		0	0	true	good_scouting	selected_inf_melee	selected_inf_melee	selected_inf_melee	1.0
3c_Ala_Taifali_Cavalry	5	2	mail_improved	2600	cavalry	32	cav_mel	28	40	15	3c_Taifali_Cavalry	rome_man_spear_shield_cavalry	rome_infantry_medium	40	15	60	15	rome_scythian_horse_spear_shield_m	0		80	rome_spear_cav_elite	rome_javelin_precursor	4	cavalry	3c_taifali_cavalry	cav_roman	melee_cav_good	false	trained	0	3c_Ala_Officer_Cav			true	40.0	1500.0	0.0	melee_cavalry_cold	40.0	80.0		0	0	false	poor_scouting	selected_horsemen	selected_horsemen	selected_horsemen	1.1
3c_Ara_Arabian_Camel_Archers	5	13	cloth	2300	cavalry	8	cav_mis	1	8	12	3c_Eas_Camel_Archers	rome_man_camel_bow_cavalry	rome_infantry_light	16	15	35	5	roman_camel	0		80	rome_shortsword	rome_recurve_bow_horse	4	none	Ara_Camel_Archers_Tooltip	missile_cav	archer_cav	false	poorly_trained	0	3c_Ara_Officer_Cavalry_Camel			true	60.0	1500.0	0.0	camel_missile	60.0	150.0		0	13	false	excellent_scouting	selected_camel_archers	selected_camel_archers	selected_camel_archers	1.0
3c_Ara_Arabian_Camel_Archers_comm	5	13	cloth	2300	cavalry	8	cav_mis	1	8	12	3c_Eas_Camel_Archers	rome_man_camel_bow_cavalry	rome_infantry_light	16	15	35	5	roman_camel	0		80	rome_shortsword	rome_recurve_bow_horse	4	none	Ara_Camel_Archers_Tooltip	missile_cav	archer_cav	false	poorly_trained	0	3c_Ara_Officer_Cavalry_Camel			true	60.0	1500.0	0.0	camel_missile	60.0	150.0		0	13	false	excellent_scouting	selected_camel_archers	selected_camel_archers	selected_camel_archers	1.0
3c_Ara_Arabian_Camel_Spearmen	5	0	padded	2300	cavalry	25	cav_mel	10	28	10	Ara_Tribes_People_Long	rome_man_camel_spear_cavalry	rome_infantry_light	28	10	40	5	roman_camel_spear	0		80	rome_spear_cav		4	caetra_cavalry	3c_arabian_camel_spearmen	cav_melee	melee_cav_poor	false	poorly_trained	0	3c_Ara_Officer_Cavalry_Camel			true	60.0	1500.0	0.0	camel	60.0	150.0		0	0	false	excellent_scouting	selected_camel_spearmen	selected_camel_spearmen	selected_camel_spearmen	1.0
3c_Ara_Arabian_Javelinmen	5	7	cloth	1900	inf_ranged	3	inf_mis	1	8	12	Ara_Tribes_People_Long	rome_man_javelin_sword_shield	rome_infantry_very_light	8	12	25	5		0		0	rome_shortsword	rome_javelin	5	caetra	3c_arabian_javelinmen	missile_inf	javelinmen	false	poorly_trained	0	3c_Ara_Officer_Infantry			true	50.0	1500.0	0.0	missile_infantry_warm	50.0	100.0		0	13	false	average_scouting	selected_javelinmen	selected_generic	selected_short	1.0
3c_Ara_Arabian_Nobles	5	2	scale	2300	cavalry	28	cav_mel	10	46	10	3c_Arabian_Nobles	rome_man_sword_shield_cavalry	rome_infantry_medium	46	10	40	10	rome_hellenic_horse_sword_shield_m	0		80	rome_generic_sword_cav	rome_javelin_precursor	4	caetra_cavalry	Aux_Ara_Cav_Tooltip	cav_melee	melee_cav_avg	false	trained	0	3c_Ara_Officer_Infantry			true	60.0	1500.0	0.0	melee_cavalry_warm	60.0	200.0		0	0	false	good_scouting	selected_arabian_cavalry	selected_cavalry	selected_cavalry_melee	1.0
3c_Ara_Arabian_Nobles_comm	5	2	scale	2300	cavalry	28	cav_mel	10	46	10	3c_Arabian_Nobles	rome_man_sword_shield_cavalry	rome_infantry_medium	46	10	40	10	rome_hellenic_horse_sword_shield_m	0		80	rome_generic_sword_cav	rome_javelin_precursor	4	caetra_cavalry	Aux_Ara_Cav_Tooltip	cav_melee	melee_cav_avg	false	trained	0	3c_Ara_Officer_Infantry			true	60.0	1500.0	0.0	melee_cavalry_warm	60.0	200.0		0	0	false	good_scouting	selected_arabian_cavalry	selected_cavalry	selected_cavalry_melee	1.0
3c_Ara_Arabian_Slingers	5	25	cloth	1900	inf_ranged	3	inf_mis	1	8	12	Ara_Tribes_People_Long	rome_man_sling	rome_infantry_very_light	8	12	25	5		0		0	rome_shortsword	rome_sling	5	caetra	3c_arabian_slingers	missile_inf	slingers	false	poorly_trained	0	3c_Ara_Officer_Infantry			true	60.0	1500.0	0.0	missile_infantry_warm	80.0	160.0		0	13	false	superior_scouting	selected_slingers	selected_slingers	selected_inf_missile	0.9
3c_Ara_Arabian_Spearmen	5	0	cloth	1900	inf_melee	11	inf_spr	10	13	24	Ara_Tribes_People_Long	rome_man_spear_shield	rome_infantry_medium	13	24	30	5		0		0	rome_spear		6	oval	Aux_Ara_Spr_Tooltip	spear_inf	spear_poor	false	poorly_trained	0	3c_Ara_Officer_Infantry			true	40.0	1500.0	0.0	melee_infantry_warm	40.0	80.0		0	0	false	average_scouting	selected_levy_spearmen	selected_levy_spearmen	selected_inf_spearmen	1.0
3c_Ara_Arabian_Swordsmen	5	2	padded	1900	inf_melee	24	inf_mel	15	45	35	Ara_Tribes_People_Long	rome_man_sword_shield	rome_infantry_medium	30	20	35	20		0		0	rome_hoplite_sword	rome_javelin_precursor	6	oval	3c_arabian_swordsmen	melee_inf_roman	melee_good	false	poorly_trained	0	3c_Ara_Officer_Infantry			true	40.0	1500.0	0.0	melee_infantry_warm	40.0	80.0		0	0	false	average_scouting	selected_swordsmen	selected_infantry	selected_generic	1.0
3c_Ara_Arabian_Swordsmen_comm	5	2	padded	1900	inf_melee	24	inf_mel	15	45	35	Ara_Tribes_People_Long	rome_man_sword_shield	rome_infantry_medium	30	20	35	20		0		0	rome_hoplite_sword	rome_javelin_precursor	6	oval	3c_arabian_swordsmen	melee_inf_roman	melee_good	false	poorly_trained	0	3c_Ara_Officer_Infantry			true	40.0	1500.0	0.0	melee_infantry_warm	40.0	80.0		0	0	false	average_scouting	selected_swordsmen	selected_infantry	selected_generic	1.0
3c_Arm_Armenian_Archers	5	15	cloth	1900	inf_ranged	4	inf_mis	2	11	15	3c_Armenia_Generic	rome_man_bow	rome_infantry_very_light_fast	11	15	40	10		0		0	rome_shortsword	rome_recurve_bow	5	none	3c_armenian_archers	missile_inf	archers	false	poorly_trained	0	3c_Arm_Officer_Archer_Standard			true	60.0	1500.0	0.0	missile_infantry_warm	60.0	140.0		0	18	false	excellent_scouting	selected_persian_archers	selected_persian_archers	selected_men_of_persia	0.9
3c_Arm_Armenian_Pikemen	5	0	spolas	1900	inf_melee	7	inf_pik	7	19	24	3c_Pikemen_Generic	rome_man_pike	rome_infantry_heavy_pike	34	15	45	15		0		0	rome_pike		6	pikemen	3c_armenian_pikemen	pikemen	pike_avg	false	trained	0	3c_Arm_Officer_Pike			true	40.0	1500.0	0.0	heavy_infantry	40.0	60.0		0	0	false	very_poor_scouting	selected_inf_pikemen	selected_inf_pikemen	selected_generic	1.0
3c_Arm_Armenian_Slingers	5	25	light_padded	1900	inf_ranged	6	inf_mis	2	10	13	Afr_Tribal_Slingers_Long	rome_man_sling	rome_infantry_very_light	10	13	40	15		0		0	rome_shortsword	rome_sling_lead	5	small_round	3c_armenian_slingers	missile_inf	slingers	false	poorly_trained	0	3c_Arm_Officer_Archer_Standard			true	60.0	1500.0	0.0	missile_infantry_warm	200.0	200.0		0	28	false	elite_scouting	selected_slingers	selected_slingers	selected_inf_missile	0.8
3c_Arm_Armenian_Spearmen	5	0	padded_improved	1900	inf_melee	11	inf_spr	10	15	25	3c_Armenia_Generic	rome_man_spear_shield	rome_infantry_medium	15	25	35	5		0		0	rome_spear		6	tower	3c_armenian_spearmen	spear_inf	spear_avg	false	trained	0	3c_Arm_Officer_Low_Tier			true	50.0	1500.0	0.0	melee_infantry_warm	50.0	100.0		0	0	false	average_scouting	selected_inf_spearmen	selected_inf_spearmen	selected_generic	1.0
3c_Arm_Armoured_Armenian_Archers	5	15	scale	1900	inf_ranged	18	inf_mis	18	28	32	3c_Armoured_Archers_Generic	rome_man_bow_spear	rome_infantry_heavy	28	32	50	15		0		0	rome_spear_anti_cav	rome_recurve_bow_elite	5	none	3c_armoured_armenian_archers	missile_inf	archers_elite	false	trained	0	3c_Arm_Officer_Archer_Armoured			true	60.0	1500.0	0.0	missile_infantry_warm	60.0	140.0		0	23	false	excellent_scouting	selected_elite_archers	selected_elite_archers	selected_inf_missile	0.9
